Origin,Destination,Distance_km
Pune,Nasik,211.88
Nasik,Pune,211.88
Pune,Aurangabad,233.38
Aurangabad,Pune,233.38
Pune,Surat,409.53
Surat,Pune,409.53
Pune,Vadodara,537.9
Vadodara,Pune,537.9
Jaipur,Kota,249.12
Kota,Jaipur,249.12
Jaipur,Najafgarh,259.86
Najafgarh,Jaipur,259.86
Jaipur,Faridabad,268.33
Faridabad,Jaipur,268.33
Jaipur,Nangloi Jat,272.71
Nangloi Jat,Jaipur,272.71
Jaipur,Sultanpur Mazra,274.7
Sultanpur Mazra,Jaipur,274.7
Jaipur,New Delhi,273.5
New Delhi,Jaipur,273.5
Jaipur,Delhi,275.71
Delhi,Jaipur,275.71
Jaipur,Agra,239.82
Agra,Jaipur,239.82
Jaipur,Dalupura,295.55
Dalupura,Jaipur,295.55
Jaipur,Bhalswa Jahangirpur,280.65
Bhalswa Jahangirpur,Jaipur,280.65
Kanpur,Lucknow,84.0
Lucknow,Kanpur,84.0
Kanpur,Prayagraj,201.71
Prayagraj,Kanpur,201.71
Kanpur,Gwalior,265.11
Gwalior,Kanpur,265.11
Kanpur,Agra,280.34
Agra,Kanpur,280.34
Kanpur,Mirzapur,298.15
Mirzapur,Kanpur,298.15
Kanpur,Aligarh,300.6
Aligarh,Kanpur,300.6
Kanpur,Haldwani,368.2
Haldwani,Kanpur,368.2
Kanpur,Varanasi,327.71
Varanasi,Kanpur,327.71
Kanpur,Jabalpur,451.44
Jabalpur,Kanpur,451.44
Kanpur,Faridabad,417.42
Faridabad,Kanpur,417.42
Mirzapur,Varanasi,60.71
Varanasi,Mirzapur,60.71
Mirzapur,Prayagraj,89.05
Prayagraj,Mirzapur,89.05
Mirzapur,Lucknow,293.75
Lucknow,Mirzapur,293.75
Mirzapur,Kanpur,290.79
Kanpur,Mirzapur,290.79
Mirzapur,Patna,295.2
Patna,Mirzapur,295.2
Mirzapur,Sabalpur,301.33
Sabalpur,Mirzapur,301.33
Mirzapur,Muzaffarpur,355.44
Muzaffarpur,Mirzapur,355.44
Mirzapur,Bilaspur,555.86
Bilaspur,Mirzapur,555.86
Mirzapur,Ranchi,466.2
Ranchi,Mirzapur,466.2
Mirzapur,Jabalpur,398.95
Jabalpur,Mirzapur,398.95
Nagpur,Jabalpur,274.51
Jabalpur,Nagpur,274.51
Nagpur,Raipur,284.76
Raipur,Nagpur,284.76
Nagpur,Bhopal,349.55
Bhopal,Nagpur,349.55
Nagpur,Bilaspur,398.8
Bilaspur,Nagpur,398.8
Nagpur,Indore,446.77
Indore,Nagpur,446.77
Nagpur,Kukatpalli,495.51
Kukatpalli,Nagpur,495.51
Nagpur,Secunderabad,487.62
Secunderabad,Nagpur,487.62
Nagpur,Hyderabad,497.17
Hyderabad,Nagpur,497.17
Nagpur,Mirpeta,504.0
Mirpeta,Nagpur,504.0
Nagpur,Aurangabad,449.96
Aurangabad,Nagpur,449.96
Ghaziabad,Garhi,14.0
Garhi,Ghaziabad,14.0
Ghaziabad,Dalupura,19.18
Dalupura,Ghaziabad,19.18
Ghaziabad,Murtazabad,18.66
Murtazabad,Ghaziabad,18.66
Ghaziabad,Loni,21.16
Loni,Ghaziabad,21.16
Ghaziabad,Delhi,25.78
Delhi,Ghaziabad,25.78
Ghaziabad,New Delhi,28.07
New Delhi,Ghaziabad,28.07
Ghaziabad,Bhalswa Jahangirpur,29.75
Bhalswa Jahangirpur,Ghaziabad,29.75
Ghaziabad,Faridabad,40.33
Faridabad,Ghaziabad,40.33
Ghaziabad,Sultanpur Mazra,42.44
Sultanpur Mazra,Ghaziabad,42.44
Ghaziabad,Nangloi Jat,42.76
Nangloi Jat,Ghaziabad,42.76
Supaul,Muzaffarpur,182.75
Muzaffarpur,Supaul,182.75
Supaul,Sabalpur,247.22
Sabalpur,Supaul,247.22
Supaul,Patna,252.46
Patna,Supaul,252.46
Supaul,Kankuria,296.53
Kankuria,Supaul,296.53
Supaul,Dhanbad,355.7
Dhanbad,Supaul,355.7
Supaul,Sijua,373.13
Sijua,Supaul,373.13
Supaul,Ranchi,484.71
Ranchi,Supaul,484.71
Supaul,Krishnanagar,459.67
Krishnanagar,Supaul,459.67
Supaul,Jamshedpur,503.86
Jamshedpur,Supaul,503.86
Supaul,Bansbaria,497.97
Bansbaria,Supaul,497.97
Vadodara,Ahmedabad,110.54
Ahmedabad,Vadodara,110.54
Vadodara,Surat,146.54
Surat,Vadodara,146.54
Vadodara,Nasik,356.68
Nasik,Vadodara,356.68
Vadodara,Rajkot,285.44
Rajkot,Vadodara,285.44
Vadodara,Indore,333.88
Indore,Vadodara,333.88
Vadodara,Vasai-Virar,370.18
Vasai-Virar,Vadodara,370.18
Vadodara,Bhayandar,384.5
Bhayandar,Vadodara,384.5
Vadodara,Kalyan,396.81
Kalyan,Vadodara,396.81
Vadodara,Thane,392.68
Thane,Vadodara,392.68
Vadodara,Aurangabad,461.0
Aurangabad,Vadodara,461.0
Rajkot,Ahmedabad,216.75
Ahmedabad,Rajkot,216.75
Rajkot,Surat,430.97
Surat,Rajkot,430.97
Rajkot,Vadodara,285.46
Vadodara,Rajkot,285.46
Rajkot,Vasai-Virar,654.62
Vasai-Virar,Rajkot,654.62
Rajkot,Bhayandar,668.94
Bhayandar,Rajkot,668.94
Rajkot,Nasik,641.12
Nasik,Rajkot,641.12
Rajkot,Thane,677.12
Thane,Rajkot,677.12
Rajkot,Mumbai,691.1
Mumbai,Rajkot,691.1
Rajkot,Kalyan,681.25
Kalyan,Rajkot,681.25
Rajkot,Jodhpur,623.75
Jodhpur,Rajkot,623.75
Vishakhapatnam,Vijayavada,357.96
Vijayavada,Vishakhapatnam,357.96
Vishakhapatnam,Puri,464.83
Puri,Vishakhapatnam,464.83
Vishakhapatnam,Raipur,580.93
Raipur,Vishakhapatnam,580.93
Vishakhapatnam,Kendraparha,511.28
Kendraparha,Vishakhapatnam,511.28
Vishakhapatnam,Bilaspur,698.01
Bilaspur,Vishakhapatnam,698.01
Vishakhapatnam,Mirpeta,593.54
Mirpeta,Vishakhapatnam,593.54
Vishakhapatnam,Secunderabad,603.08
Secunderabad,Vishakhapatnam,603.08
Vishakhapatnam,Hyderabad,597.63
Hyderabad,Vishakhapatnam,597.63
Vishakhapatnam,Kukatpalli,611.73
Kukatpalli,Vishakhapatnam,611.73
Vishakhapatnam,Balasore,623.67
Balasore,Vishakhapatnam,623.67
Indore,Bhopal,189.5
Bhopal,Indore,189.5
Indore,Kota,314.88
Kota,Indore,314.88
Indore,Vadodara,334.44
Vadodara,Indore,334.44
Indore,Aurangabad,408.15
Aurangabad,Indore,408.15
Indore,Ahmedabad,387.36
Ahmedabad,Indore,387.36
Indore,Surat,439.53
Surat,Indore,439.53
Indore,Nasik,416.29
Nasik,Indore,416.29
Indore,Nagpur,447.85
Nagpur,Indore,447.85
Indore,Jabalpur,490.08
Jabalpur,Indore,490.08
Indore,Jaipur,564.29
Jaipur,Indore,564.29
Thane,Bhayandar,26.66
Bhayandar,Thane,26.66
Thane,Mumbai,20.35
Mumbai,Thane,20.35
Thane,Kalyan,28.72
Kalyan,Thane,28.72
Thane,Vasai-Virar,40.97
Vasai-Virar,Thane,40.97
Thane,Pimpri-Chinchwad,135.13
Pimpri-Chinchwad,Thane,135.13
Thane,Pune,147.32
Pune,Thane,147.32
Thane,Nasik,146.32
Nasik,Thane,146.32
Thane,Surat,262.58
Surat,Thane,262.58
Thane,Aurangabad,305.96
Aurangabad,Thane,305.96
Thane,Vadodara,390.94
Vadodara,Thane,390.94
Bhopal,Indore,189.35
Indore,Bhopal,189.35
Bhopal,Kota,342.1
Kota,Bhopal,342.1
Bhopal,Jabalpur,312.82
Jabalpur,Bhopal,312.82
Bhopal,Nagpur,350.65
Nagpur,Bhopal,350.65
Bhopal,Gwalior,420.52
Gwalior,Bhopal,420.52
Bhopal,Agra,553.2
Agra,Bhopal,553.2
Bhopal,Aurangabad,600.54
Aurangabad,Bhopal,600.54
Bhopal,Jaipur,591.51
Jaipur,Bhopal,591.51
Bhopal,Vadodara,523.68
Vadodara,Bhopal,523.68
Bhopal,Kanpur,526.89
Kanpur,Bhopal,526.89
Pimpri-Chinchwad,Pune,16.03
Pune,Pimpri-Chinchwad,16.03
Pimpri-Chinchwad,Kalyan,144.0
Kalyan,Pimpri-Chinchwad,144.0
Pimpri-Chinchwad,Thane,137.37
Thane,Pimpri-Chinchwad,137.37
Pimpri-Chinchwad,Mumbai,136.0
Mumbai,Pimpri-Chinchwad,136.0
Pimpri-Chinchwad,Bhayandar,160.2
Bhayandar,Pimpri-Chinchwad,160.2
Pimpri-Chinchwad,Vasai-Virar,174.52
Vasai-Virar,Pimpri-Chinchwad,174.52
Pimpri-Chinchwad,Nasik,200.35
Nasik,Pimpri-Chinchwad,200.35
Pimpri-Chinchwad,Aurangabad,242.37
Aurangabad,Pimpri-Chinchwad,242.37
Pimpri-Chinchwad,Surat,396.12
Surat,Pimpri-Chinchwad,396.12
Pimpri-Chinchwad,Vadodara,524.49
Vadodara,Pimpri-Chinchwad,524.49
Patna,Sabalpur,8.38
Sabalpur,Patna,8.38
Patna,Muzaffarpur,72.35
Muzaffarpur,Patna,72.35
Patna,Supaul,253.64
Supaul,Patna,253.64
Patna,Varanasi,240.08
Varanasi,Patna,240.08
Patna,Sijua,315.5
Sijua,Patna,315.5
Patna,Dhanbad,319.52
Dhanbad,Patna,319.52
Patna,Ranchi,323.15
Ranchi,Patna,323.15
Patna,Mirzapur,294.75
Mirzapur,Patna,294.75
Patna,Kankuria,388.74
Kankuria,Patna,388.74
Patna,Jamshedpur,448.1
Jamshedpur,Patna,448.1
Bilaspur,Raipur,117.56
Raipur,Bilaspur,117.56
Bilaspur,Jabalpur,314.15
Jabalpur,Bilaspur,314.15
Bilaspur,Mirzapur,519.22
Mirzapur,Bilaspur,519.22
Bilaspur,Nagpur,398.04
Nagpur,Bilaspur,398.04
Bilaspur,Varanasi,516.27
Varanasi,Bilaspur,516.27
Bilaspur,Prayagraj,545.78
Prayagraj,Bilaspur,545.78
Bilaspur,Ranchi,430.29
Ranchi,Bilaspur,430.29
Bilaspur,Jamshedpur,560.05
Jamshedpur,Bilaspur,560.05
Bilaspur,Puri,570.82
Puri,Bilaspur,570.82
Bilaspur,Sijua,573.87
Sijua,Bilaspur,573.87
Ludhiana,Chandigarh,98.0
Chandigarh,Ludhiana,98.0
Ludhiana,Amritsar,141.58
